"Frame","MessageId","MessageOrderIndex","ChannelId","Timestamp","MessageAction","MessageTypeName","OriginEndpointId","DestinationEndpointId","CustomPayloadTypename","CustomPayloadUncompressedByteSize","StringPayload"
"27044","B0CA655B4E991A74F4D484B410787A1B","","0","2021.03.11-17.22.02","Publish","ConcertSession_DiscoverAndJoinSessionEvent","35AF136444D1C446B7A8F4A41E59A611","00000000000000000000000000000000","None","0",""
"27044","379D877F493D13106CD89DBF88F681F9","","0","2021.03.11-17.22.02","Publish","ConcertSession_DiscoverAndJoinSessionEvent","35AF136444D1C446B7A8F4A41E59A611","00000000000000000000000000000000","None","0",""
"27045","E5BAFCA042C576A6B0EFF3A410EC3814","","0","2021.03.11-17.22.02","Receive","ConcertReliableHandshakeData","1CDE35B64E91268398A290A3AD3C2441","35AF136444D1C446B7A8F4A41E59A611","None","0",""
"27045","E5BAFCA042C576A6B0EFF3A410EC3814","","0","2021.03.11-17.22.02","EndpointDiscovery","ConcertReliableHandshakeData","1CDE35B64E91268398A290A3AD3C2441","35AF136444D1C446B7A8F4A41E59A611","None","0",""
"27045","54789B1048A0D8A5532B868FE99A67E4","","0","2021.03.11-17.22.02","Send","ConcertReliableHandshakeData","35AF136444D1C446B7A8F4A41E59A611","1CDE35B64E91268398A290A3AD3C2441","None","0",""
"27045","E5BAFCA042C576A6B0EFF3A410EC3814","","0","2021.03.11-17.22.02","Receive","ConcertReliableHandshakeData","1CDE35B64E91268398A290A3AD3C2441","35AF136444D1C446B7A8F4A41E59A611","None","0",""
"27045","D918463B48106C60A7DDD3B454A7CE88","","0","2021.03.11-17.22.02","Send","ConcertReliableHandshakeData","35AF136444D1C446B7A8F4A41E59A611","1CDE35B64E91268398A290A3AD3C2441","None","0",""
"27046","0F8BFBDE4190D385A45A25A19A46983E","0","1","2021.03.11-17.22.02","Receive","ConcertSession_JoinSessionResultEvent","1CDE35B64E91268398A290A3AD3C2441","35AF136444D1C446B7A8F4A41E59A611","None","0",""
"27046","DDA03A5846C1483BC43EAC9B38C8688C","","0","2021.03.11-17.22.02","Receive","ConcertReliableHandshakeData","1CDE35B64E91268398A290A3AD3C2441","35AF136444D1C446B7A8F4A41E59A611","None","0",""
"27046","DDA03A5846C1483BC43EAC9B38C8688C","","0","2021.03.11-17.22.02","Receive","ConcertReliableHandshakeData","1CDE35B64E91268398A290A3AD3C2441","35AF136444D1C446B7A8F4A41E59A611","None","0",""
